filename;temperature;adsorptionUnits;pressureUnits;compositionType;num_of_adsorbates;adsorbent_name;adsorbates_name;pressure;adsorbed_amount;composition
10.1002adfm.200500561.Isotherm6;87;wt%;bar;molefraction;1;CuBTC;Hydrogen;1.97581;1.86675;1.0
10.1002adfm.200500561.Isotherm6;87;wt%;bar;molefraction;1;CuBTC;Hydrogen;2.82258;2.11605;1.0
10.1002adfm.200500561.Isotherm6;87;wt%;bar;molefraction;1;CuBTC;Hydrogen;2.96371;2.18041;1.0
10.1002adfm.200500561.Isotherm6;87;wt%;bar;molefraction;1;CuBTC;Hydrogen;3.95161;2.34919;1.0
10.1002adfm.200500561.Isotherm6;87;wt%;bar;molefraction;1;CuBTC;Hydrogen;5.3629;2.55812;1.0
10.1002adfm.200500561.Isotherm6;87;wt%;bar;molefraction;1;CuBTC;Hydrogen;6.20968;2.6706;1.0
10.1002adfm.200500561.Isotherm6;87;wt%;bar;molefraction;1;CuBTC;Hydrogen;7.47984;2.78299;1.0
10.1002adfm.200500561.Isotherm6;87;wt%;bar;molefraction;1;CuBTC;Hydrogen;10.1613;2.92724;1.0
10.1002adfm.200500561.Isotherm6;87;wt%;bar;molefraction;1;CuBTC;Hydrogen;19.4758;3.13435;1.0
10.1002adfm.200500561.Isotherm6;87;wt%;bar;molefraction;1;CuBTC;Hydrogen;42.621;3.24171;1.0
10.1002adfm.200500561.Isotherm6;87;wt%;bar;molefraction;1;CuBTC;Hydrogen;48.125;3.54628;1.0
10.1002adfm.200500561.Isotherm7;200;wt%;bar;molefraction;1;CuBTC;Hydrogen;0.141129;0.00801584;1.0
10.1002adfm.200500561.Isotherm7;200;wt%;bar;molefraction;1;CuBTC;Hydrogen;2.25806;0.0638671;1.0
10.1002adfm.200500561.Isotherm7;200;wt%;bar;molefraction;1;CuBTC;Hydrogen;3.24597;0.11193;1.0
10.1002adfm.200500561.Isotherm7;200;wt%;bar;molefraction;1;CuBTC;Hydrogen;6.63306;0.191634;1.0
10.1002adfm.200500561.Isotherm7;200;wt%;bar;molefraction;1;CuBTC;Hydrogen;13.8306;0.383138;1.0
10.1002adfm.200500561.Isotherm7;200;wt%;bar;molefraction;1;CuBTC;Hydrogen;28.5081;0.637308;1.0
10.1002adfm.200500561.Isotherm7;200;wt%;bar;molefraction;1;CuBTC;Hydrogen;54.4758;0.937171;1.0
10.1002adfm.200500561.Isotherm7;200;wt%;bar;molefraction;1;CuBTC;Hydrogen;61.25;1;1.0
10.1002adfm.200500561.Isotherm8;298;wt%;bar;molefraction;1;CuBTC;Hydrogen;0.141129;0.00801584;1.0
10.1002adfm.200500561.Isotherm8;298;wt%;bar;molefraction;1;CuBTC;Hydrogen;4.375;0.0311871;1.0
10.1002adfm.200500561.Isotherm8;298;wt%;bar;molefraction;1;CuBTC;Hydrogen;8.18548;0.0786006;1.0
10.1002adfm.200500561.Isotherm8;298;wt%;bar;molefraction;1;CuBTC;Hydrogen;18.629;0.132537;1.0
10.1002adfm.200500561.Isotherm8;298;wt%;bar;molefraction;1;CuBTC;Hydrogen;29.9194;0.202376;1.0
10.1002adfm.200500561.Isotherm8;298;wt%;bar;molefraction;1;CuBTC;Hydrogen;44.879;0.279418;1.0
10.1002adfm.200500561.Isotherm8;298;wt%;bar;molefraction;1;CuBTC;Hydrogen;58.7097;0.340624;1.0
10.1002adfm.200500561.Isotherm8;298;wt%;bar;molefraction;1;CuBTC;Hydrogen;65.9073;0.347018;1.0
10.1002adfm.200500830.Isotherm1;77;wt%;bar;molefraction;1;Carbon;Hydrogen;0.00909016;0.274254;1.0
10.1002adfm.200500830.Isotherm1;77;wt%;bar;molefraction;1;Carbon;Hydrogen;0.0151503;0.470149;1.0
